time,score,status
23:25:43,64,DROWSY
23:25:47,77,DROWSY
time,score,status
23:27:27,87,DROWSY
23:27:30,84,DROWSY
23:27:39,14,DROWSY
23:27:49,105,DROWSY
23:27:54,102,DROWSY
23:27:58,102,DROWSY
23:28:04,105,DROWSY
time,score,status
23:34:35,107,DROWSY
23:35:23,46,DROWSY
23:35:42,102,DROWSY
time,score,status
23:39:33,104,Drowsy
time,score,status
23:49:34,102,DROWSY
23:49:40,47,DROWSY
time,score,status
21:48:04,2,DROWSY
21:48:09,14,DROWSY
21:48:19,2,DROWSY
time,score,status
21:49:14,2,DROWSY
21:49:35,2,DROWSY
21:49:57,33,DROWSY
21:50:35,2,DROWSY
21:50:54,15,DROWSY
21:51:51,2,DROWSY
21:52:04,84,DROWSY
21:53:55,2,DROWSY
21:54:09,101,DROWSY
21:54:42,2,DROWSY
21:54:57,69,DROWSY
